name,label,settlement_type,ward_code,lga_code
S00832,Satsisa-Tudun,Village,W010,LGA02
S00869,Sulushi,Village,W010,LGA02
S00852,Susaba-Kofar,Village,W010,LGA02
S00834,Susayi,Village,W010,LGA02
S00854,Tasana,Hamlet,W010,LGA02
S00865,Tashade-Gabas,Urban block,W010,LGA02
S00845,Tawawo,Hamlet,W010,LGA02
S00830,Tazari,Village,W010,LGA02
S00844,Umnani,Village,W010,LGA02
S00859,Waludu-Kofar,Hamlet,W010,LGA02
S00827,Watishi,Village,W010,LGA02
S00838,Yewami,Village,W010,LGA02
S00835,Zaraja,Village,W010,LGA02
S00842,Zashako,Village,W010,LGA02
S00871,Zazaba,Hamlet,W010,LGA02
S00398,Adlawo,Village,W005,LGA02
S00407,Agmaru,Hamlet,W005,LGA02
S00390,Agsasa,Village,W005,LGA02
S00378,Agzadu,Village,W005,LGA02
S00388,Daladu,Settlement,W005,LGA02
S00391,Danani,Settlement,W005,LGA02
S00395,Ekkofa,Village,W005,LGA02
S00403,Ekngofa,Settlement,W005,LGA02
S00400,Eksana,Hamlet,W005,LGA02
S00405,Enmashi,Hamlet,W005,LGA02
S00383,Entsina,Village,W005,LGA02
S00393,Farawa-Kofar,Settlement,W005,LGA02
S00401,Gungowa,Village,W005,LGA02
S00374,Gusayi,Village,W005,LGA02
S00372,Haluta-Tudun,Village,W005,LGA02
S00402,Hasayi,Village,W005,LGA02
S00370,Ibluko-Tudun,Village,W005,LGA02
S00385,Ibluwo,Village,W005,LGA02
S00392,Jidule,Hamlet,W005,LGA02
S00406,Katside,Hamlet,W005,LGA02
S00373,Loduwo,Village,W005,LGA02
S00381,Lorako,Settlement,W005,LGA02
S00399,Matiyi,Settlement,W005,LGA02
S00387,Nusadu,Settlement,W005,LGA02
S00389,Nuyole,Village,W005,LGA02
S00394,Olbana-Tsakiya,Village,W005,LGA02
S00377,Olduyi-Kudu,Village,W005,LGA02
S00369,Oljina,Hamlet,W005,LGA02
S00380,Olriri,Village,W005,LGA02
S00396,Olrishi,Settlement,W005,LGA02
S00371,Ririyi,Hamlet,W005,LGA02
S00404,Sakosa,Settlement,W005,LGA02
S00379,Suzawo,Settlement,W005,LGA02
S00382,Tatidu,Hamlet,W005,LGA02
S00397,Uzjimi,Village,W005,LGA02
S00384,Yemani,Hamlet,W005,LGA02
S00376,Yerita,Hamlet,W005,LGA02
S00386,Yezatu,Hamlet,W005,LGA02
S00375,Zajina,Hamlet,W005,LGA02
S00966,Adrale,Village,W013,LGA02
S00957,Adsako,Village,W013,LGA02
S00971,Agtisa,Village,W013,LGA02
S00993,Badudu,Hamlet,W013,LGA02
S00970,Bangotu,Hamlet,W013,LGA02
S00954,Bibedu,Hamlet,W013,LGA02
S00955,Datina,Village,W013,LGA02
S00974,Dazashi,Hamlet,W013,LGA02
S00959,Dodetu,Hamlet,W013,LGA02
S00953,Dolule-Tsakiya,Settlement,W013,LGA02
S00967,Ekjimi,Village,W013,LGA02
S00976,Ekyoni,Village,W013,LGA02
S00963,Enbewa-Tsakiya,Village,W013,LGA02
S00984,Enlawo-Tudun,Settlement,W013,LGA02
S00958,Fatima-Kudu,Hamlet,W013,LGA02
S00965,Fatsiwa,Village,W013,LGA02
S00995,Gubale,Urban block,W013,LGA02
S00994,Gushatu,Village,W013,LGA02
S00992,Gutsitu-Kudu,Hamlet,W013,LGA02
S00988,Ibtsina,Village,W013,LGA02
S00991,Irduja,Settlement,W013,LGA02
S00956,Irjiba-Yamma,Hamlet,W013,LGA02
S00977,Irzawo,Hamlet,W013,LGA02
S00989,Jingona,Hamlet,W013,LGA02
S00961,Kajita,Village,W013,LGA02
S00960,Kalama,Settlement,W013,LGA02
S00986,Kawadu,Settlement,W013,LGA02
S00980,Kudewo-Yamma,Village,W013,LGA02
S00975,Kurita,Village,W013,LGA02
S00973,Kushadu,Hamlet,W013,LGA02
S00987,Lozayi,Hamlet,W013,LGA02
S00978,Mangoko,Village,W013,LGA02
S00969,Mawana,Village,W013,LGA02
S00982,Okmaja,Settlement,W013,LGA02
S00981,Ringomi,Settlement,W013,LGA02
S00985,Salako,Hamlet,W013,LGA02
S00990,Salude-Sabo,Village,W013,LGA02
S00968,Sayoma,Hamlet,W013,LGA02
S00983,Surima-Gabas,Settlement,W013,LGA02
S00972,Sushafa,Settlement,W013,LGA02
S00979,Talata-Tsakiya,Settlement,W013,LGA02
S00964,Uzdusa-Kudu,Hamlet,W013,LGA02
S00962,Uzsana-Gabas,Settlement,W013,LGA02
S00997,Zasami-Tsakiya,Village,W013,LGA02
S00996,Zashayi,Hamlet,W013,LGA02
S01237,Adtidu,Urban block,W016,LGA02
S01264,Aglana,Hamlet,W016,LGA02
S01239,Aglashi,Hamlet,W016,LGA02
S01234,Agngowa,Settlement,W016,LGA02
S01238,Agrishi,Village,W016,LGA02
S01255,Bakoko-Gabas,Village,W016,LGA02
S01268,Bakori,Village,W016,LGA02
S01233,Birafa,Village,W016,LGA02
S01267,Biwako-Sabo,Settlement,W016,LGA02
S01248,Dalawa,Hamlet,W016,LGA02
S01275,Damawa,Settlement,W016,LGA02
S01246,Doluta,Hamlet,W016,LGA02
S01252,Dongori,Village,W016,LGA02
S01247,Fazaru,Hamlet,W016,LGA02
S01272,Gushawa,Village,W016,LGA02
S01258,Gutide,Hamlet,W016,LGA02
S01253,Habaja,Village,W016,LGA02
S01260,Hajishi,Village,W016,LGA02
S01240,Haraja,Village,W016,LGA02
S01256,Ibngoni,Village,W016,LGA02
S01274,Ibtsiri,Village,W016,LGA02
S01232,Irraja,Urban block,W016,LGA02
S01265,Kawade,Settlement,W016,LGA02
S01270,Lotsiko,Village,W016,LGA02
S01251,Lotsimi,Village,W016,LGA02
S01276,Nujija,Settlement,W016,LGA02
S01271,Nulude,Village,W016,LGA02
S01263,Nuriri,Village,W016,LGA02
S01245,Nuwashi,Village,W016,LGA02
S01254,Okkoma,Hamlet,W016,LGA02
S01243,Okyoja,Village,W016,LGA02
S01249,Olbena,Settlement,W016,LGA02
S01236,Oljitu,Settlement,W016,LGA02
S01242,Olratu,Village,W016,LGA02
S01266,Ribata,Hamlet,W016,LGA02
S01273,Riyota,Village,W016,LGA02
S01259,Subeja,Village,W016,LGA02
S01257,Suriyi,Settlement,W016,LGA02
S01231,Tadefa,Village,W016,LGA02
S01261,Talufa,Hamlet,W016,LGA02
S01262,Tangoshi,Village,W016,LGA02
S01269,Umtiyi,Village,W016,LGA02
S01235,Uzjiba,Village,W016,LGA02
S01250,Wadena-Arewa,Village,W016,LGA02
S01244,Wajifa,Hamlet,W016,LGA02
S01277,Yemasa-Gabas,Village,W016,LGA02
S01241,Zaluyi,Hamlet,W016,LGA02
S00822,Agdeko,Hamlet,W009,LGA02
S00796,Agmade,Settlement,W009,LGA02
S00825,Agsani,Hamlet,W009,LGA02
S00818,Agshari,Village,W009,LGA02
S00823,Bazawo,Hamlet,W009,LGA02
S00807,Domade,Village,W009,LGA02
S00805,Dorashi,Settlement,W009,LGA02
S00803,Fanashi,Settlement,W009,LGA02
S00798,Gubako,Village,W009,LGA02
S00820,Ibzade-Arewa,Village,W009,LGA02
S00809,Irngoma-Arewa,Settlement,W009,LGA02
S00817,Jijiwo,Hamlet,W009,LGA02
S00814,Kasami,Village,W009,LGA02
S00791,Kujidu,Settlement,W009,LGA02
S00824,Loduma-Tudun,Village,W009,LGA02
S00795,Mabadu,Settlement,W009,LGA02
S00804,Madena,Village,W009,LGA02
S00793,Malako,Hamlet,W009,LGA02
S00789,Matsima,Hamlet,W009,LGA02
S00794,Mayoru,Settlement,W009,LGA02
S00811,Okbani,Village,W009,LGA02
S00821,Oktini,Urban block,W009,LGA02
S00810,Okzaru,Village,W009,LGA02
S00806,Ribeta,Village,W009,LGA02
S00792,Rikoma,Village,W009,LGA02
S00799,Rikotu,Hamlet,W009,LGA02
S00812,Rilayi,Village,W009,LGA02
S00797,Ringosa-Gabas,Village,W009,LGA02
S00816,Sawade,Urban block,W009,LGA02
S00808,Sawawa,Village,W009,LGA02
S00801,Tadetu-Gabas,Settlement,W009,LGA02
S00819,Tatishi-Arewa,Settlement,W009,LGA02
S00815,Umshade-Yamma,Hamlet,W009,LGA02
S00800,Uzdemi,Village,W009,LGA02
S00813,Uzshaja-Arewa,Village,W009,LGA02
S00790,Uztsimi,Village,W009,LGA02
S00802,Wayole-Kofar,Hamlet,W009,LGA02
S00788,Zayoma,Urban block,W009,LGA02
S00339,Agbeja,Village,W004,LGA02
S00337,Agrale,Village,W004,LGA02
S00362,Agtsiwa,Urban block,W004,LGA02
S00330,Baritu,Village,W004,LGA02
S00331,Bawari-Yamma,Village,W004,LGA02
S00360,Dangoja,Village,W004,LGA02
S00344,Datsisa-Arewa,Hamlet,W004,LGA02
S00363,Dolaja,Village,W004,LGA02
S00332,Ekbade,Hamlet,W004,LGA02
S00358,Ekdeja,Hamlet,W004,LGA02
S00351,Eklufa,Settlement,W004,LGA02
S00347,Fabemi-Kofar,Village,W004,LGA02
S00345,Falama,Village,W004,LGA02
S00352,Falana,Village,W004,LGA02
S00350,Fanadu,Village,W004,LGA02
S00334,Gubatu-Kudu,Hamlet,W004,LGA02
S00335,Halani,Settlement,W004,LGA02
S00340,Hatiwo-Sabo,Hamlet,W004,LGA02
S00367,Ibdule,Village,W004,LGA02
S00355,Ibsasa,Hamlet,W004,LGA02
S00329,Ibshaja,Hamlet,W004,LGA02
S00361,Irjina,Village,W004,LGA02
S00336,Jimaba,Village,W004,LGA02
S00356,Katima,Hamlet,W004,LGA02
S00338,Kunawo,Hamlet,W004,LGA02
S00348,Lolutu,Village,W004,LGA02
S00366,Losadu-Tudun,Village,W004,LGA02
S00365,Lotide-Kofar,Hamlet,W004,LGA02
S00342,Okbele,Hamlet,W004,LGA02
S00343,Oklale,Village,W004,LGA02
S00349,Oltiwo-Sabo,Hamlet,W004,LGA02
S00364,Sangoru-Sabo,Village,W004,LGA02
S00353,Sushadu-Yamma,Village,W004,LGA02
S00357,Umjiri,Urban block,W004,LGA02
S00359,Uzbede,Village,W004,LGA02
S00354,Uzbede-Yamma,Hamlet,W004,LGA02
S00333,Uzyowa,Hamlet,W004,LGA02
S00368,Yedena,Village,W004,LGA02
S00346,Yedude,Hamlet,W004,LGA02
S00341,Yetsisa,Hamlet,W004,LGA02
S01523,Adlufa,Village,W021,LGA02
S01552,Agsawo,Hamlet,W021,LGA02
S01542,Daluta,Settlement,W021,LGA02
S01514,Daradu-Kudu,Village,W021,LGA02
S01518,Ekshadu,Village,W021,LGA02
S01540,Ekshashi,Village,W021,LGA02
S01522,Fangota,Village,W021,LGA02
S01544,Hadele-Arewa,Hamlet,W021,LGA02
S01529,Hakoma,Village,W021,LGA02
S01539,Hakosa,Settlement,W021,LGA02
S01547,Ibbayi,Village,W021,LGA02
S01549,Iblumi,Hamlet,W021,LGA02
S01538,Ibshami,Hamlet,W021,LGA02
S01545,Ibtide-Tudun,Village,W021,LGA02
S01515,Irbaja,Hamlet,W021,LGA02
S01534,Irngode,Hamlet,W021,LGA02
S01536,Irraba,Village,W021,LGA02
S01533,Irtide,Settlement,W021,LGA02
S01526,Jiriyi,Settlement,W021,LGA02
S01517,Jisami,Hamlet,W021,LGA02
S01554,Kamawo,Village,W021,LGA02
S01528,Kujija,Village,W021,LGA02
S01550,Kungosa-Arewa,Village,W021,LGA02
S01543,Lolashi,Hamlet,W021,LGA02
S01520,Maberi-Kofar,Hamlet,W021,LGA02
S01521,Majija-Gabas,Hamlet,W021,LGA02
S01530,Mawani,Hamlet,W021,LGA02
S01524,Nuzaba,Village,W021,LGA02
S01546,Okshatu,Village,W021,LGA02
S01548,Salaja,Hamlet,W021,LGA02
S01541,Sayofa,Hamlet,W021,LGA02
S01535,Sazale,Hamlet,W021,LGA02
S01527,Sungode,Settlement,W021,LGA02
S01531,Wasale,Village,W021,LGA02
S01532,Watiyi,Village,W021,LGA02
S01516,Yebeba,Settlement,W021,LGA02
S01525,Yengode,Hamlet,W021,LGA02
S01537,Yengona,Village,W021,LGA02
S01553,Zadewo,Village,W021,LGA02
S01519,Zasale,Village,W021,LGA02
S01551,Zazako,Village,W021,LGA02
S01207,Admashi,Hamlet,W015,LGA01
S01202,Adsana,Village,W015,LGA01
S01177,Adtsina,Hamlet,W015,LGA01
S01128,Agyowa-Tudun,Hamlet,W015,LGA01
S01174,Agyowo,Village,W015,LGA01
S01158,Bariyi,Hamlet,W015,LGA01
S01206,Bashashi,Hamlet,W015,LGA01
S01191,Bibako,Hamlet,W015,LGA01
S01111,Bikoja-Tsakiya,Settlement,W015,LGA01
S01133,Bisaja,Urban block,W015,LGA01
S01163,Bishale,Village,W015,LGA01
S01230,Bitile,Hamlet,W015,LGA01
S01120,Bitsiyi,Village,W015,LGA01
S01156,Daluna,Urban block,W015,LGA01
S01145,Dangode,Village,W015,LGA01
S01188,Darile-Arewa,Village,W015,LGA01
S01168,Dasharu,Urban block,W015,LGA01
S01228,Dawako,Village,W015,LGA01
S01137,Dayoja,Hamlet,W015,LGA01
S01135,Dobeko,Hamlet,W015,LGA01
S01098,Domadu,Urban block,W015,LGA01
S01183,Domari,Hamlet,W015,LGA01
S01195,Dorana,Urban block,W015,LGA01
S01131,Doriba,Urban block,W015,LGA01
S01192,Doritu,Village,W015,LGA01
S01109,Dosashi,Village,W015,LGA01
S01210,Dowawa-Yamma,Urban block,W015,LGA01
S01186,Ekdema,Village,W015,LGA01
S01144,Ekjiyi-Arewa,Hamlet,W015,LGA01
S01160,Eklawa,Village,W015,LGA01
S01189,Ekratu-Kudu,Village,W015,LGA01
S01223,Ektide,Village,W015,LGA01
S01200,Ektina,Urban block,W015,LGA01
S01146,Enmale,Village,W015,LGA01
S01117,Enngoni,Settlement,W015,LGA01
S01130,Ensharu,Village,W015,LGA01
S01099,Entiyi,Village,W015,LGA01
S01194,Enwama,Urban block,W015,LGA01
S01172,Fanasa,Settlement,W015,LGA01
S01220,Fatsiwo-Yamma,Urban block,W015,LGA01
S01204,Gulawo,Village,W015,LGA01
S01208,Gungole,Hamlet,W015,LGA01
S01096,Haberi,Settlement,W015,LGA01
S01178,Hajile-Kudu,Urban block,W015,LGA01
S01141,Ibkole,Hamlet,W015,LGA01
S01127,Ibrasa,Urban block,W015,LGA01
S01140,Irbetu,Hamlet,W015,LGA01
S01122,Irdeko,Urban block,W015,LGA01
S01097,Irjina-Kudu,Village,W015,LGA01
S01148,Irmako,Settlement,W015,LGA01
S01108,Iryoko,Hamlet,W015,LGA01
S01227,Irzami,Hamlet,W015,LGA01
S01190,Jikoni,Urban block,W015,LGA01
S01134,Jilari,Settlement,W015,LGA01
S01106,Jirashi,Urban block,W015,LGA01
S01175,Jizani,Settlement,W015,LGA01
S01147,Kanale,Village,W015,LGA01
S01153,Karatu-Arewa,Urban block,W015,LGA01
S01166,Kariba,Hamlet,W015,LGA01
S01180,Kazani,Village,W015,LGA01
S01215,Kudumi-Kudu,Urban block,W015,LGA01
S01199,Kuluta,Settlement,W015,LGA01
S01161,Kumako-Sabo,Village,W015,LGA01
S01125,Kutiru,Village,W015,LGA01
S01219,Kuwawa,Hamlet,W015,LGA01
S01138,Lobeyi-Arewa,Urban block,W015,LGA01
S01222,Lodeshi,Village,W015,LGA01
S01132,Lojiwo,Settlement,W015,LGA01
S01114,Lokota,Village,W015,LGA01
S01198,Losawo,Urban block,W015,LGA01
S01143,Loyoni,Settlement,W015,LGA01
S01201,Loyoru-Sabo,Hamlet,W015,LGA01
S01126,Manana,Village,W015,LGA01
S01185,Marana,Hamlet,W015,LGA01
S01224,Nurifa,Settlement,W015,LGA01
S01221,Nutide,Urban block,W015,LGA01
S01101,Okkowo,Village,W015,LGA01
S01129,Okrawa,Village,W015,LGA01
S01187,Okyode,Village,W015,LGA01
S01152,Olbale-Tsakiya,Hamlet,W015,LGA01
S01211,Olduwo,Settlement,W015,LGA01
S01179,Oljiba,Urban block,W015,LGA01
S01103,Olnafa,Urban block,W015,LGA01
S01196,Olshani,Village,W015,LGA01
S01110,Oltsija,Settlement,W015,LGA01
S01142,Olwawo-Gabas,Village,W015,LGA01
S01155,Olzawo,Urban block,W015,LGA01
S01203,Rideshi,Urban block,W015,LGA01
S01118,Riduma,Settlement,W015,LGA01
S01229,Rikoni-Sabo,Urban block,W015,LGA01
S01197,Rikoyi,Village,W015,LGA01
S01115,Rinata,Village,W015,LGA01
S01213,Sadewo,Village,W015,LGA01
S01173,Saludu,Settlement,W015,LGA01
S01169,Salushi,Urban block,W015,LGA01
S01162,Sarayi-Kofar,Hamlet,W015,LGA01
S01209,Sashale,Hamlet,W015,LGA01
S01164,Sashayi,Urban block,W015,LGA01
S01104,Satsiri,Village,W015,LGA01
S01225,Suritu-Gabas,Urban block,W015,LGA01
S01136,Suzade-Tudun,Village,W015,LGA01
S01124,Tajile,Village,W015,LGA01
S01116,Tanaba,Village,W015,LGA01
S01170,Tasadu,Village,W015,LGA01
S01214,Tasaja,Hamlet,W015,LGA01
S01119,Tatsina,Hamlet,W015,LGA01
S01205,Tatsiwo,Settlement,W015,LGA01
S01157,Tawale,Urban block,W015,LGA01
S01226,Umduko,Urban block,W015,LGA01
S01217,Umlafa-Kofar,Hamlet,W015,LGA01
S01182,Umlatu,Hamlet,W015,LGA01
S01171,Ummade,Hamlet,W015,LGA01
S01100,Umtimi,Village,W015,LGA01
S01165,Umwama-Arewa,Settlement,W015,LGA01
S01113,Uzdeko,Hamlet,W015,LGA01
S01181,Uzjita-Kudu,Hamlet,W015,LGA01
S01176,Uzraja,Hamlet,W015,LGA01
S01149,Uzride,Urban block,W015,LGA01
S01095,Uztija,Hamlet,W015,LGA01
S01193,Uzwashi,Village,W015,LGA01
S01123,Wadeko,Urban block,W015,LGA01
S01216,Wamashi,Village,W015,LGA01
S01107,Wangofa,Settlement,W015,LGA01
S01102,Wasaja,Urban block,W015,LGA01
S01218,Wasako,Urban block,W015,LGA01
S01154,Yeduyi,Village,W015,LGA01
S01112,Yejile,Urban block,W015,LGA01
S01167,Yelade,Hamlet,W015,LGA01
S01139,Yeluwa-Tudun,Village,W015,LGA01
S01184,Yeshasa,Village,W015,LGA01
S01105,Yezadu,Hamlet,W015,LGA01
S01212,Yezari-Kudu,Hamlet,W015,LGA01
S01121,Zaduna,Hamlet,W015,LGA01
S01150,Zanaja-Arewa,Settlement,W015,LGA01
S01151,Zayole,Urban block,W015,LGA01
S01159,Zazayi-Tudun,Hamlet,W015,LGA01
S00606,Adduma,Village,W007,LGA01
S00604,Adtiri,Village,W007,LGA01
S00540,Adzafa-Yamma,Hamlet,W007,LGA01
S00585,Agbasa-Sabo,Urban block,W007,LGA01
S00543,Agjiko,Village,W007,LGA01
S00548,Agshatu,Urban block,W007,LGA01
S00539,Baduri,Hamlet,W007,LGA01
S00611,Bakode,Village,W007,LGA01
S00632,Banadu,Urban block,W007,LGA01
S00655,Basaba,Village,W007,LGA01
S00617,Basaru,Hamlet,W007,LGA01
S00583,Bideba,Hamlet,W007,LGA01
S00537,Bikofa-Arewa,Hamlet,W007,LGA01
S00616,Bitsitu-Arewa,Hamlet,W007,LGA01
S00570,Dabeko-Tsakiya,Settlement,W007,LGA01
S00541,Dadeyi,Settlement,W007,LGA01
S00556,Dashawa,Urban block,W007,LGA01
S00626,Datitu,Hamlet,W007,LGA01
S00644,Dayode,Settlement,W007,LGA01
S00613,Dazaja,Hamlet,W007,LGA01
S00654,Doduru,Settlement,W007,LGA01
S00566,Dokowa,Settlement,W007,LGA01
S00569,Doludu,Village,W007,LGA01
S00589,Doluri,Village,W007,LGA01
S00619,Doriru,Hamlet,W007,LGA01
S00573,Dosasa-Tudun,Village,W007,LGA01
S00595,Ekdusa,Settlement,W007,LGA01
S00614,Ekduwo,Village,W007,LGA01
S00615,Ekkoyi,Village,W007,LGA01
S00657,Eklade,Settlement,W007,LGA01
S00646,Ekluwa,Hamlet,W007,LGA01
S00659,Ektsitu,Hamlet,W007,LGA01
S00572,Ekwana,Village,W007,LGA01
S00633,Ennawa,Village,W007,LGA01
S00591,Ensashi,Urban block,W007,LGA01
S00622,Entsishi,Village,W007,LGA01
S00630,Enwadu,Urban block,W007,LGA01
S00546,Enzako,Settlement,W007,LGA01
S00567,Fabema,Village,W007,LGA01
S00577,Fatini-Kofar,Village,W007,LGA01
S00582,Gushama,Urban block,W007,LGA01
S00652,Harani,Urban block,W007,LGA01
S00598,Ibjimi-Sabo,Village,W007,LGA01
